Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:16:50:389465,-0.11718928816662852,Channel B: ,15:16:50:440464,-78.07931639581903
Channel A: ,15:16:51:405679,-0.11718928816662852,Channel B: ,15:16:51:456045,-78.05587853818571
Channel A: ,15:16:52:413975,-0.11718928816662852,Channel B: ,15:16:52:463213,-78.04025329976349
Channel A: ,15:16:53:418258,-0.11718928816662852,Channel B: ,15:16:53:469264,-78.03244068055238
Channel A: ,15:16:54:424766,-0.1250019073777371,Channel B: ,15:16:54:474033,-78.29025711451897
Channel A: ,15:16:55:434093,-0.13281452658884565,Channel B: ,15:16:55:383154,-78.51682307164111
Channel A: ,15:16:56:451980,-0.13281452658884565,Channel B: ,15:16:56:401037,-78.67307545586328
Channel A: ,15:16:57:471646,-0.13281452658884565,Channel B: ,15:16:57:420271,-78.80588998245213
Channel A: ,15:16:58:384467,-0.13281452658884565,Channel B: ,15:16:58:435418,-78.89964141298543
Channel A: ,15:16:59:403451,-0.13281452658884565,Channel B: ,15:16:59:454380,-78.98558022430763
Channel A: ,15:17:00:422574,-0.13281452658884565,Channel B: ,15:17:00:473568,-79.0558937972076
Channel A: ,15:17:01:429968,-0.13281452658884565,Channel B: ,15:17:01:380725,-79.11058213168536
Channel A: ,15:17:02:431641,-0.13281452658884565,Channel B: ,15:17:02:382426,-79.16527046616312
Channel A: ,15:17:03:439860,-0.13281452658884565,Channel B: ,15:17:03:388927,-79.2355840390631
Channel A: ,15:17:04:459922,-0.13281452658884565,Channel B: ,15:17:04:409019,-79.29808499275197
Channel A: ,15:17:05:476599,-0.13281452658884565,Channel B: ,15:17:05:425731,-79.36058594644084
Channel A: ,15:17:06:473155,-0.13281452658884565,Channel B: ,15:17:06:423273,-79.4152742809186
Channel A: ,15:17:07:469997,-0.13281452658884565,Channel B: ,15:17:07:418872,-79.47777523460746
Channel A: ,15:17:08:382160,-0.13281452658884565,Channel B: ,15:17:08:433139,-79.52465094987411
Channel A: ,15:17:09:382204,-0.13281452658884565,Channel B: ,15:17:09:431432,-79.57152666514077
Channel A: ,15:17:10:392774,-0.13281452658884565,Channel B: ,15:17:10:443960,-79.61058976119631
Channel A: ,15:17:11:413010,-0.13281452658884565,Channel B: ,15:17:11:463890,-79.65746547646296
Channel A: ,15:17:12:430008,-0.13281452658884565,Channel B: ,15:17:12:378895,-79.6965285725185
Channel A: ,15:17:13:436314,-0.13281452658884565,Channel B: ,15:17:13:386883,-79.73559166857405
Channel A: ,15:17:14:426684,-0.13281452658884565,Channel B: ,15:17:14:476032,-79.76684214541848
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:17:22:037459,-0.1250019073777371,Channel B: ,15:17:21:988155,-79.50121309224079
Channel A: ,15:17:23:023974,-0.11718928816662852,Channel B: ,15:17:22:974560,-79.3293354695964
Channel A: ,15:17:24:013631,-0.11718928816662852,Channel B: ,15:17:23:964255,-79.20433356221866
