Plant bioelectric data log. Project: Setup
R0-2020-05-03.csv
Channel0 is the control (a potato).
Channel1 is the plant connected to tinned copper wire.
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Time                 Value in mV
"('17:10:55:947778', 9.8283, 62.5556)"
"('17:10:58:203270', 62.4775, 61.6259)"
"('17:11:00:459292', 9.9377, 9.9377)"
"('17:11:02:716026', 9.9377, 62.2353)"
"('17:11:04:971862', 10.1252, 62.3056)"
"('17:11:07:227582', 9.8205, 62.7744)"
"('17:11:09:484127', 10.2111, 62.3838)"
"('17:11:11:740466', 10.2345, 62.5478)"
"('17:11:13:996029', 10.2345, 63.1807)"
"('17:11:16:251560', 10.3283, 63.5244)"
"('17:11:18:507546', 10.2892, 63.6963)"
"('17:11:20:763890', 10.2502, 64.1104)"
"('17:11:23:019467', 10.3517, 64.1338)"
"('17:11:25:275027', 10.3283, 65.0401)"
"('17:11:27:530631', 10.297, 64.9541)"
"('17:11:29:786931', 10.3752, 65.5869)"
"('17:11:32:042481', 10.3908, 66.9463)"
"('17:11:34:298187', 67.5479, 65.0401)"
"('17:11:36:554668', 10.3439, 67.8448)"
"('17:11:38:810292', 10.3908, 68.7354)"
"('17:11:41:065840', 10.0314, 70.0245)"
"('17:11:43:321594', 10.2267, 67.8838)"
"('17:11:45:578285', 10.3205, 69.7511)"
"('17:11:47:834388', 10.3048, 69.8214)"
"('17:11:50:089957', 69.2901, 67.5479)"
"('17:11:52:345726', 10.2345, 10.2111)"
"('17:11:54:602538', 9.9611, 69.0089)"
"('17:11:56:858660', 68.8761, 68.8917)"
"('17:11:59:114233', 10.258, 10.2189)"
"('17:12:01:369877', 10.0939, 68.8761)"
"('17:12:03:626703', 68.8761, 68.087)"
"('17:12:05:882257', 10.1252, 69.3761)"
"('17:12:08:137764', 10.3048, 69.2823)"
"('17:12:10:393436', 10.3908, 69.4307)"
"('17:12:12:650282', 9.5783, 68.2589)"
"('17:12:14:906702', 68.2198, 68.2198)"
"('17:12:17:162256', 10.4142, 10.422)"
"('17:12:19:418142', 9.758, 69.5323)"
"('17:12:21:674702', 69.8995, 69.3214)"
"('17:12:23:930239', 10.3752, 10.2892)"
"('17:12:26:185790', 10.1408, 69.3136)"
"('17:12:28:441735', 10.3908, 68.2667)"
"('17:12:30:699935', 10.2189, 67.6885)"
"('17:12:32:955599', 10.4142, 67.5948)"
Plant bioelectric data log. Project: Setup
R0-2020-05-03.csv
Channel0 is the control (a potato).
Channel1 is the plant connected to tinned copper wire.
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Time                 Value in mV
"('17:15:32:592466', 10.4767, 87.1498)"
"('17:15:34:847877', 10.547, 87.9623)"
"('17:15:37:104118', 10.547, 88.0795)"
"('17:15:39:361058', 10.5627, 89.267)"
"('17:15:41:618052', 10.5236, 90.3295)"
"('17:15:43:873668', 10.4533, 91.103)"
"('17:15:46:129255', 10.5314, 91.603)"
"('17:15:48:384978', 10.5158, 92.0952)"
"('17:15:50:641954', 10.3752, 93.5171)"
"('17:15:52:897723', 10.922, 93.2202)"
"('17:15:55:153462', 11.0158, 92.9155)"
"('17:15:57:409256', 10.9377, 91.6811)"
"('17:15:59:666251', 10.7502, 92.1967)"
"('17:16:01:921809', 10.797, 92.7358)"
"('17:16:04:177366', 10.8049, 92.5248)"
"('17:16:06:433241', 10.7267, 93.1655)"
"('17:16:08:690177', 10.6877, 92.8686)"
"('17:16:10:945727', 10.797, 92.9311)"
"('17:16:13:201282', 10.7267, 93.2202)"
"('17:16:15:457231', 10.6095, 93.5092)"
"('17:16:17:715828', 10.6877, 92.228)"
"('17:16:19:971556', 10.6799, 93.0795)"
"('17:16:22:227731', 10.6095, 93.7671)"
"('17:16:24:483746', 10.758, 94.3764)"
"('17:16:26:740940', 10.7424, 94.8764)"
"('17:16:28:996499', 10.633, 95.4155)"
"('17:16:31:252026', 10.5705, 95.4155)"
"('17:16:33:508095', 10.7502, 94.1811)"
"('17:16:35:764384', 10.7189, 94.4936)"
"('17:16:38:019957', 10.6799, 95.064)"
"('17:16:40:275614', 10.7345, 96.1343)"
"('17:16:42:532373', 10.8049, 96.8687)"
"('17:16:44:787962', 10.7189, 96.7359)"
"('17:16:47:043513', 10.6799, 96.8609)"
