Plant bioelectric data log. Project: Setup
R0-2020-05-02.csv
Channel0 is the control (a potato) sampled once every minute for a second.
Channel1 is the plant connected to tinned copper wire and sampled every minute for 59 seconds.
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Time                 Value in mV
"('17:14:11:907900', 10.1252, 56.7118)"
"('17:14:22:172506', 12.9143, 50.4305)"
"('17:14:32:427816', 14.1799, 43.0085)"
"('17:14:42:691371', 13.3127, 49.8758)"
"('17:14:52:955068', 12.9143, 49.6961)"
"('17:15:03:219551', 12.2971, 12.1174)"
"('17:15:13:483114', 11.9221, 57.6571)"
"('17:15:23:746613', 12.2267, 51.0711)"
"('17:15:34:010595', 13.0627, 43.2741)"
"('17:15:44:275076', 13.2736, 50.5398)"
"('17:15:54:538654', 13.8908, 50.368)"
"('17:16:04:798841', 15.5237, 50.4851)"
"('17:16:15:063597', 18.1175, 50.5945)"
"('17:16:25:324752', 16.4924, 50.6726)"
"('17:16:35:582292', 46.3445, 41.8678)"
"('17:16:45:846040', 14.2424, 49.9226)"
"('17:16:56:110942', 17.469, 17.0471)"
"('17:17:06:375265', 17.0862, 51.6492)"
"('17:17:16:638836', 15.1721, 51.0633)"
"('17:17:26:894171', 16.6409, 43.36)"
"('17:17:37:158490', 15.1799, 50.0008)"
"('17:17:47:422061', 14.2893, 50.6648)"
"('17:17:57:685776', 15.008, 14.0315)"
"('17:18:07:949623', 14.219, 53.9227)"
"('17:18:18:214329', 13.0549, 51.1102)"
"('17:18:28:477933', 12.633, 43.2897)"
"('17:18:38:739962', 11.9846, 50.2742)"
"('17:18:49:003963', 10.9689, 50.5789)"
"('17:18:59:268171', 10.6564, 11.0705)"
"('17:19:09:531716', 10.6877, 54.9618)"
"('17:19:19:795240', 9.7345, 50.6101)"
"('17:19:30:059768', 9.1095, 42.5553)"
"('17:19:40:325048', 8.4689, 49.8914)"
"('17:19:50:588590', 9.047, 50.118)"
"('17:20:00:852166', 9.6642, 9.6251)"
"('17:20:11:116878', 9.6017, 56.0868)"
"('17:20:21:380529', 9.5783, 50.6883)"
"('17:20:31:644195', 9.9533, 42.2428)"
"('17:20:41:907880', 10.2267, 49.7195)"
"('17:20:52:172490', 10.3986, 48.907)"
"('17:21:02:435690', 10.8986, 10.9533)"
"('17:21:12:694187', 11.0392, 56.493)"
"('17:21:22:957867', 11.5314, 50.157)"
"('17:21:33:222485', 13.4455, 41.8678)"
"('17:21:43:486050', 12.7736, 48.9304)"
"('17:21:53:749595', 12.3674, 49.157)"
"('17:22:04:013579', 12.3361, 12.4221)"
"('17:22:14:274213', 12.3518, 57.1181)"
"('17:22:24:537766', 12.4768, 50.3289)"
"('17:22:34:801284', 12.4689, 41.4147)"
"('17:22:45:065305', 12.4221, 49.1101)"
"('17:22:55:330612', 12.5471, 49.3836)"
"('17:23:05:594135', 12.5314, 12.5158)"
"('17:23:15:855827', 12.2267, 57.7353)"
"('17:23:26:123294', 12.3908, 50.6805)"
"('17:23:36:387626', 12.4924, 41.9303)"
"('17:23:46:644183', 12.4689, 49.1883)"
"('17:23:56:904354', 12.4221, 49.2586)"
"('17:24:07:169437', 12.3127, 49.0476)"
"('17:24:17:433068', 12.2814, 48.9382)"
"('17:24:27:696606', 12.2971, 48.2273)"
"('17:24:37:955149', 44.7897, 39.6178)"
"('17:24:48:214432', 12.0002, 48.1492)"
"('17:24:58:478328', 11.9611, 11.9299)"
"('17:25:08:741842', 11.8517, 49.1648)"
"('17:25:19:005848', 11.9299, 48.3367)"
"('17:25:29:270457', 11.9533, 39.6881)"
"('17:25:39:534011', 11.8752, 47.4695)"
"('17:25:49:797567', 12.1642, 47.9382)"
"('17:26:00:061887', 12.008, 12.1564)"
"('17:26:10:324956', 12.1799, 51.5398)"
"('17:26:20:588484', 12.1252, 48.3757)"
"('17:26:30:852052', 12.1721, 39.6881)"
"('17:26:41:116757', 12.1408, 47.7507)"
"('17:26:51:380971', 12.1017, 47.8601)"
"('17:27:01:644185', 12.1252, 12.1408)"
"('17:27:11:908025', 12.1174, 53.5008)"
"('17:27:22:172961', 12.2424, 48.6101)"
"('17:27:32:436746', 12.2267, 39.5944)"
"('17:27:42:700265', 12.3439, 47.7195)"
