Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:38:57:833569', 61.7744)"
"('13:38:59:089193', 73.6574)"
"('13:39:00:353083', 63.6807)"
"('13:39:01:613166', 74.3136)"
"('13:39:02:868558', 63.251)"
"('13:39:04:129215', 74.5168)"
"('13:39:05:385072', 76.3215)"
"('13:39:06:641562', 63.9541)"
"('13:39:07:898016', 62.6103)"
"('13:39:09:154105', 61.9697)"
"('13:39:10:409820', 74.0324)"
"('13:39:11:666313', 63.1416)"
"('13:39:12:923295', 62.1806)"
"('13:39:14:182355', 73.9855)"
"('13:39:15:438174', 75.8137)"
"('13:39:16:695578', 63.5635)"
"('13:39:17:958883', 62.5166)"
"('13:39:19:220554', 61.8759)"
"('13:39:20:481865', 73.8996)"
"('13:39:21:752964', 64.1885)"
"('13:39:23:009228', 74.5089)"
"('13:39:24:264960', 63.3838)"
"('13:39:25:522759', 62.2744)"
"('13:39:26:778245', 74.2199)"
"('13:39:28:032463', 76.2668)"
"('13:39:29:289816', 64.0479)"
"('13:39:30:550197', 75.2355)"
"('13:39:31:808828', 63.915)"
"('13:39:33:064902', 62.6806)"
"('13:39:34:324342', 62.0634)"
"('13:39:35:581267', 61.7509)"
"('13:39:36:837174', 61.5947)"
"('13:39:38:092504', 73.8136)"
"('13:39:39:348172', 63.0478)"
"('13:39:40:607092', 61.9853)"
"('13:39:41:868902', 61.6884)"
"('13:39:43:127581', 61.4775)"
"('13:39:44:383273', 73.5714)"
"('13:39:45:650659', 63.2744)"
"('13:39:46:906446', 74.2824)"
"('13:39:48:163928', 63.0088)"
"('13:39:49:420910', 74.2589)"
"('13:39:50:676854', 62.9619)"
"('13:39:51:935218', 61.7666)"
"('13:39:53:204297', 73.6417)"
"('13:39:54:463859', 62.9541)"
"('13:39:55:722764', 74.1418)"
"('13:39:56:982507', 62.8994)"
"('13:39:58:241265', 61.8213)"
"('13:39:59:497338', 61.165)"
"('13:40:00:753911', 61.0244)"
"('13:40:02:009314', 72.8761)"
"('13:40:03:264940', 62.3994)"
"('13:40:04:520628', 73.6417)"
"('13:40:05:776156', 62.6885)"
"('13:40:07:031308', 73.7746)"
"('13:40:08:286634', 62.5791)"
"('13:40:09:543012', 61.3212)"
"('13:40:10:798603', 73.0949)"
"('13:40:12:061523', 62.5244)"
"('13:40:13:317871', 61.5478)"
"('13:40:14:573241', 73.2121)"
"('13:40:15:830072', 62.5635)"
"('13:40:17:086435', 73.6339)"
"('13:40:18:342716', 62.5478)"
"('13:40:19:599199', 61.165)"
"('13:40:20:869247', 61.9463)"
"('13:40:22:125073', 72.7824)"
"('13:40:23:388797', 62.1416)"
"('13:40:24:644952', 61.2822)"
"('13:40:25:900159', 72.7745)"
"('13:40:27:156472', 74.5402)"
"('13:40:28:416587', 62.54)"
"('13:40:29:693885', 61.3134)"
"('13:40:30:952443', 60.8447)"
"('13:40:32:208320', 72.5167)"
"('13:40:33:464997', 61.8759)"
"('13:40:34:722465', 73.0949)"
"('13:40:35:979381', 62.165)"
"('13:40:37:234977', 61.1494)"
"('13:40:38:497212', 61.1884)"
"('13:40:39:761545', 60.5712)"
"('13:40:41:017616', 72.4152)"
"('13:40:42:283980', 61.915)"
"('13:40:43:540491', 73.1808)"
"('13:40:44:797281', 62.3369)"
"('13:40:46:052611', 61.0791)"
"('13:40:47:312771', 72.837)"
"('13:40:48:569340', 62.0478)"
"('13:40:49:826798', 61.0478)"
"('13:40:51:086583', 72.8449)"
"('13:40:52:343514', 74.8683)"
"('13:40:53:599762', 62.8603)"
"('13:40:54:856478', 61.3759)"
"('13:40:56:112918', 60.8994)"
"('13:40:57:372617', 60.6494)"
"('13:40:58:628283', 72.6027)"
"('13:40:59:884580', 61.9228)"
"('13:41:01:140651', 60.7978)"
"('13:41:02:404703', 60.6181)"
"('13:41:03:659897', 72.1261)"
"('13:41:04:915883', 61.6103)"
"('13:41:06:182226', 60.5712)"
"('13:41:07:438008', 72.3683)"
"('13:41:08:694580', 61.7119)"
"('13:41:09:950711', 60.7197)"
"('13:41:11:206704', 60.3603)"
"('13:41:12:465053', 60.3759)"
"('13:41:13:723784', 71.9152)"
"('13:41:14:979521', 61.4463)"
"('13:41:16:239008', 60.415)"
"('13:41:17:494524', 72.0402)"
"('13:41:18:750752', 61.415)"
"('13:41:20:031525', 61.8603)"
"('13:41:21:292260', 60.2509)"
"('13:41:22:566519', 60.9072)"
"('13:41:23:822326', 71.9464)"
"('13:41:25:086109', 61.5556)"
"('13:41:26:341479', 72.6964)"
"('13:41:27:597119', 61.7744)"
"('13:41:28:852729', 72.837)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:42:33:286115', 87.2826)"
"('13:42:34:543234', 69.8214)"
"('13:42:35:800765', 81.095)"
"('13:42:37:059099', 67.8526)"
"('13:42:38:314364', 78.7512)"
"('13:42:39:569927', 79.9309)"
"('13:42:40:831074', 80.22)"
"('13:42:42:086755', 80.1028)"
"('13:42:43:342889', 80.0403)"
"('13:42:44:600195', 66.626)"
"('13:42:45:856194', 64.665)"
"('13:42:47:111305', 76.6418)"
"('13:42:48:369853', 65.001)"
"('13:42:49:625343', 76.423)"
"('13:42:50:881394', 64.7666)"
"('13:42:52:137205', 76.1418)"
"('13:42:53:393315', 64.5713)"
"('13:42:54:648718', 75.8137)"
"('13:42:55:904552', 77.4543)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:44:09:163630', 88.7592)"
"('13:44:10:439068', 81.9856)"
"('13:44:11:697371', 80.0637)"
"('13:44:12:954058', 67.0166)"
"('13:44:14:214867', 78.0481)"
"('13:44:15:470724', 65.4072)"
"('13:44:16:727175', 64.626)"
"('13:44:17:991679', 64.1729)"
"('13:44:19:253720', 63.6728)"
"('13:44:20:514512', 63.4697)"
"('13:44:21:770423', 63.165)"
"('13:44:23:024942', 75.4465)"
"('13:44:24:280102', 77.509)"
"('13:44:25:536515', 64.9619)"
"('13:44:26:792633', 63.6182)"
"('13:44:28:053942', 62.9385)"
"('13:44:29:309257', 75.0715)"
"('13:44:30:569837', 64.0322)"
"('13:44:31:826455', 75.4543)"
"('13:44:33:083809', 64.0244)"
"('13:44:34:339990', 75.423)"
"('13:44:35:595016', 63.9385)"
"('13:44:36:854715', 62.5556)"
"('13:44:38:110990', 74.4777)"
"('13:44:39:366153', 76.4621)"
"('13:44:40:622609', 64.2275)"
"('13:44:41:878231', 62.751)"
"('13:44:43:134399', 74.4699)"
"('13:44:44:389657', 76.4621)"
"('13:44:45:645049', 77.3606)"
"('13:44:46:901692', 64.5244)"
"('13:44:48:157875', 75.5246)"
"('13:44:49:414063', 63.8994)"
"('13:44:50:680530', 63.3213)"
"('13:44:51:936814', 74.2668)"
"('13:44:53:193220', 63.3135)"
"('13:44:54:450010', 62.1884)"
"('13:44:55:706011', 61.6884)"
"('13:44:56:968960', 61.3525)"
"('13:44:58:224800', 73.5402)"
"('13:44:59:480057', 62.751)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:45:15:807015', 85.1654)"
"('13:45:17:063863', 82.1341)"
"('13:45:18:319695', 81.0481)"
"('13:45:19:574899', 80.4075)"
"('13:45:20:830688', 79.8684)"
"('13:45:22:086783', 79.5481)"
