Plant bioelectric data log. Project: Setup
R0-2020-05-01.csv
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('09:51:09:237845', 52.1336)"
"('10:01:09:592583', 53.493)"
"('10:11:09:946232', 52.8602)"
"('10:21:10:299469', 54.4227)"
"('10:31:10:575160', 53.7274)"
"('10:41:10:929505', 50.7664)"
"('10:51:11:277616', 53.3993)"
"('11:01:11:545223', 52.9774)"
"('11:11:11:813755', 53.3289)"
"('11:21:12:167272', 52.493)"
"('11:31:12:490037', 53.2664)"
"('11:41:12:808618', 46.8757)"
"('11:51:13:162189', 45.4226)"
"('12:01:13:421929', 51.0633)"
"('12:11:13:776462', 44.8366)"
"('12:21:14:129923', 52.4305)"
"('12:31:14:455097', 54.0008)"
